title,description
welcome,Welcome to Project EDDIE Module 6 'Understanding Uncertainty in Ecological Forecasts' R Shiny App!
tab_nav1,Navigate through the module by selecting a tab.
tab_nav2,You can also use these buttons at the bottom of the page to navigate through the tabs.
objectives,There are objectives on each of the tabs. You will need to complete them sequentially.
questions,"Questions are embedded throughout the app. Answer them in your final report as you go. When prompted, download and copy-paste plots into your final report."
finish,When you are finished you can generate and download a Word document with your answers and plots.
help,If you require any further help you can use the help button in the top right corner.
start,Start from here and make sure to read through all the text carefully and answer the questions as you go.
